Date,Original,Predictions
2020-05-21,70.05,69.80317
2020-05-22,69.8,69.93474
2020-05-26,71.86,69.92608
2020-05-27,72.55,70.73304
2020-05-28,72.7,71.68929
2020-05-29,73.24,72.3651
2020-06-01,73.34,72.90763
2020-06-02,73.88,73.20101
2020-06-03,74.66,73.50591
2020-06-04,74.96,73.98352
2020-06-05,77.9,74.41114
2020-06-08,78.1,75.89834
2020-06-09,76.97,77.09527
2020-06-10,80.61,77.243004
2020-06-11,83.75,78.64001
2020-06-12,83.55,81.08054
2020-06-15,81.9,82.642914
2020-06-16,85.15,82.57942
2020-06-17,84.9,83.57111
2020-06-18,85,84.16858
